"key","R0","VE","coverage","traveller_ob_prob","worker_ob_prob","chance50","chance95"
"5_0.7_0.3",5,0.7,0.3,0.00575,0.10107,172.871666666586,741.96616666665
"6_0.7_0.3",6,0.7,0.3,0.00595,0.10793,121.573333333246,529.29266666667
"7_0.7_0.3",7,0.7,0.3,0.00837,0.12405,100.506666666653,440.223666666655
"8_0.7_0.3",8,0.7,0.3,0.00896,0.13603,77.7299999999814,336.679999999993
"9_0.7_0.3",9,0.7,0.3,0.01105,0.14321,65.123333333293,278.163333333214
"10_0.7_0.3",10,0.7,0.3,0.01286,0.15598,51.4349999999977,223.362666666793
"5_0.8_0.3",5,0.8,0.3,0.00291,0.07009,573.160000000149,2464.14833333329
"6_0.8_0.3",6,0.8,0.3,0.00379,0.07686,391.040000000037,1693.07599999998
"7_0.8_0.3",7,0.8,0.3,0.00351,0.09253,318.311666666734,1296.4508333332
"8_0.8_0.3",8,0.8,0.3,0.00732,0.10151,198.233333333395,821.803999999911
"9_0.8_0.3",9,0.8,0.3,0.00649,0.11373,175.438333333354,777.064166666692
"10_0.8_0.3",10,0.8,0.3,0.00692,0.1185,168.544999999998,727.667999999947
"5_0.9_0.3",5,0.9,0.3,0.00158,0.03034,2956.40333333329,12237.0375000002
"6_0.9_0.3",6,0.9,0.3,0.00179,0.04397,2198.62999999989,9156.81433333345
"7_0.9_0.3",7,0.9,0.3,0.00259,0.0472,1548.97499999998,6738.65100000007
"8_0.9_0.3",8,0.9,0.3,0.00336,0.0497,1311.11333333328,5555.35600000017
"9_0.9_0.3",9,0.9,0.3,0.00319,0.07071,1139.3666666667,4969.08733333318
"10_0.9_0.3",10,0.9,0.3,0.00372,0.07499,952.389999999898,4132.51133333333
"5_0.5_0.4",5,0.5,0.4,0.00795,0.12799,50.6249999999709,222.914333333385
"6_0.5_0.4",6,0.5,0.4,0.01165,0.1463,34.8716666666587,150.742666666672
"7_0.5_0.4",7,0.5,0.4,0.01199,0.15924,28.1916666666693,120.846833333289
"8_0.5_0.4",8,0.5,0.4,0.01707,0.16907,21.8999999999651,97.0041666666657
"9_0.5_0.4",9,0.5,0.4,0.01833,0.1811,17.1866666667629,74.7679999999876
"10_0.5_0.4",10,0.5,0.4,0.01863,0.18874,16.5133333333361,71.8650000000489
"5_0.6_0.4",5,0.6,0.4,0.00762,0.11191,83.8033333333442,360.341333333313
"6_0.6_0.4",6,0.6,0.4,0.00838,0.12949,66.1533333333209,281.518666666667
"7_0.6_0.4",7,0.6,0.4,0.01065,0.13841,47.8566666666884,214.418166666728
"8_0.6_0.4",8,0.6,0.4,0.01124,0.15219,42.6750000000466,184.66250000005
"9_0.6_0.4",9,0.6,0.4,0.01301,0.15542,35.9066666666186,157.228666666651
"10_0.6_0.4",10,0.6,0.4,0.01496,0.16851,26.8233333332901,117.663500000025
"5_0.7_0.4",5,0.7,0.4,0.00482,0.09373,199.46166666667,851.666666666646
"6_0.7_0.4",6,0.7,0.4,0.00562,0.10018,134.990000000049,562.203000000067
"7_0.7_0.4",7,0.7,0.4,0.00761,0.11655,109.561666666647,473.980833333306
"8_0.7_0.4",8,0.7,0.4,0.00794,0.13009,83.5066666665953,364.765333333379
"9_0.7_0.4",9,0.7,0.4,0.01009,0.13875,69.3783333332394,299.789333333226
"10_0.7_0.4",10,0.7,0.4,0.01264,0.1471,53.4333333333489,230.820666666643
"5_0.8_0.4",5,0.8,0.4,0.00241,0.06307,657.809999999998,2787.86399999999
"6_0.8_0.4",6,0.8,0.4,0.00336,0.06932,425.986666666577,1828.18733333321
"7_0.8_0.4",7,0.8,0.4,0.00299,0.08632,332.246666666673,1438.05399999999
"8_0.8_0.4",8,0.8,0.4,0.00702,0.09235,208.400000000023,914.642166666675
"9_0.8_0.4",9,0.8,0.4,0.00588,0.10697,200.680000000168,859.262000000011
"10_0.8_0.4",10,0.8,0.4,0.00646,0.10932,182.323333333246,793.252333333389
"5_0.9_0.4",5,0.9,0.4,0.00136,0.02732,3537.51666666637,14785.8004999999
"6_0.9_0.4",6,0.9,0.4,0.00154,0.04004,2340.74666666638,10140.0548333328
"7_0.9_0.4",7,0.9,0.4,0.00227,0.04035,1823.15333333332,7552.05600000024
"8_0.9_0.4",8,0.9,0.4,0.00228,0.04385,1768.0466666664,7883.79733333336
"9_0.9_0.4",9,0.9,0.4,0.0026,0.0632,1329.80000000005,5578.66516666682
"10_0.9_0.4",10,0.9,0.4,0.00317,0.06538,1643.37666666694,6998.8200000003
"5_0.5_0.5",5,0.5,0.5,0.00715,0.12336,55.3216666666849,236.561666666716
"6_0.5_0.5",6,0.5,0.5,0.01081,0.14173,36.0800000000163,155.331833333357
"7_0.5_0.5",7,0.5,0.5,0.01224,0.15259,28.5533333333442,121.000000000058
"8_0.5_0.5",8,0.5,0.5,0.01582,0.16167,23.3283333333384,102.968500000017
"9_0.5_0.5",9,0.5,0.5,0.01772,0.17489,17.8433333333232,77.691500000024
"10_0.5_0.5",10,0.5,0.5,0.01841,0.18453,16.7066666666797,72.0906666666677
"5_0.6_0.5",5,0.6,0.5,0.00737,0.10518,87.4666666666744,375.563999999939
"6_0.6_0.5",6,0.6,0.5,0.00815,0.12127,67.6999999999825,296.113000000105
"7_0.6_0.5",7,0.6,0.5,0.00973,0.13113,52.973333333357,221.736999999959
"8_0.6_0.5",8,0.6,0.5,0.01093,0.14393,44.593333333265,191.374999999919
"9_0.6_0.5",9,0.6,0.5,0.01201,0.1481,38.6233333335258,169.32999999997
"10_0.6_0.5",10,0.6,0.5,0.01403,0.16193,28.093333333265,122.407333333345
"5_0.7_0.5",5,0.7,0.5,0.00445,0.08509,211.883333333302,926.745333333266
"6_0.7_0.5",6,0.7,0.5,0.00468,0.09207,146.166666666628,646.7308333333
"7_0.7_0.5",7,0.7,0.5,0.00835,0.10708,106.046666666662,456.886666666786
"8_0.7_0.5",8,0.7,0.5,0.0074,0.12094,91.3666666666686,404.915333333402
"9_0.7_0.5",9,0.7,0.5,0.00926,0.12776,73.9850000000297,329.027333333314
"10_0.7_0.5",10,0.7,0.5,0.01137,0.13862,57.6366666666581,243.294000000003
"5_0.8_0.5",5,0.8,0.5,0.00206,0.05405,794.351666666626,3430.53000000006
"6_0.8_0.5",6,0.8,0.5,0.00289,0.06162,512.430000000168,2147.07966666669
"7_0.8_0.5",7,0.8,0.5,0.00293,0.07826,370.636666666484,1572.24200000009
"8_0.8_0.5",8,0.8,0.5,0.00622,0.08232,232.75,1013.10866666669
"9_0.8_0.5",9,0.8,0.5,0.0052,0.09457,219.253333333414,961.493333333358
"10_0.8_0.5",10,0.8,0.5,0.00572,0.09992,201.296666666865,870.0196666667
"5_0.9_0.5",5,0.9,0.5,0.00105,0.02384,4259.55333333346,18961.0875
"6_0.9_0.5",6,0.9,0.5,0.00111,0.03321,3070.30000000005,14101.1
"7_0.9_0.5",7,0.9,0.5,0.00199,0.03421,2075.8666666667,8807.05333333323
"8_0.9_0.5",8,0.9,0.5,0.00199,0.03725,2236.98333333334,9221.57133333385
"9_0.9_0.5",9,0.9,0.5,0.00248,0.0531,1495.0299999998,6313.29733333327
"10_0.9_0.5",10,0.9,0.5,0.00287,0.05725,1843.063333333,7427.30400000016
"5_0.5_0.6",5,0.5,0.6,0.00719,0.11675,54.9683333333815,236.209000000078
"6_0.5_0.6",6,0.5,0.6,0.01042,0.13558,37.3299999999581,166.469
"7_0.5_0.6",7,0.5,0.6,0.01154,0.14801,30.0766666666605,132.109999999998
"8_0.5_0.6",8,0.5,0.6,0.01499,0.15457,24.9749999999622,107.715000000022
"9_0.5_0.6",9,0.5,0.6,0.01692,0.16921,18.5600000000559,79.3933333333422
"10_0.5_0.6",10,0.5,0.6,0.01678,0.1784,17.7766666666867,77.8098333333502
"5_0.6_0.6",5,0.6,0.6,0.00609,0.0957,101.82666666666,432.669666666642
"6_0.6_0.6",6,0.6,0.6,0.0072,0.116,72.1416666666628,317.685500000149
"7_0.6_0.6",7,0.6,0.6,0.00942,0.12243,54.6966666666558,235.763
"8_0.6_0.6",8,0.6,0.6,0.00988,0.13726,47.0766666666605,204.693333333323
"9_0.6_0.6",9,0.6,0.6,0.01111,0.14194,40.8466666666791,175.986999999976
"10_0.6_0.6",10,0.6,0.6,0.01378,0.15298,29.6300000000047,129.620000000054
"5_0.7_0.6",5,0.7,0.6,0.00438,0.07697,222.970000000088,966.377666666708
"6_0.7_0.6",6,0.7,0.6,0.00425,0.0827,162.693333333315,714.047499999979
"7_0.7_0.6",7,0.7,0.6,0.00708,0.09657,119.751666666667,522.279500000028
"8_0.7_0.6",8,0.7,0.6,0.00687,0.1103,98.7200000000012,435.804166666698
"9_0.7_0.6",9,0.7,0.6,0.00865,0.11745,79.4933333334047,340.671333333361
"10_0.7_0.6",10,0.7,0.6,0.01003,0.12824,64.0800000000745,274.852166666684
"5_0.8_0.6",5,0.8,0.6,0.00195,0.04584,893.326666666668,3806.63166666671
"6_0.8_0.6",6,0.8,0.6,0.0025,0.05208,591.333333333489,2608.99166666658
"7_0.8_0.6",7,0.8,0.6,0.0024,0.06705,426.300000000047,1888.99799999995
"8_0.8_0.6",8,0.8,0.6,0.00553,0.07521,256.113333333284,1119.29016666684
"9_0.8_0.6",9,0.8,0.6,0.00485,0.08371,240.063333333237,1038.48699999993
"10_0.8_0.6",10,0.8,0.6,0.00509,0.08923,224.319999999949,973.919333333289
"5_0.9_0.6",5,0.9,0.6,0.00099,0.0182,4630.55333333369,20298.2713333335
"6_0.9_0.6",6,0.9,0.6,0.00083,0.02679,4004.69666666654,17809.5810000008
"7_0.9_0.6",7,0.9,0.6,0.00181,0.02747,2270.70666666655,9246.40466666659
"8_0.9_0.6",8,0.9,0.6,0.00149,0.03076,2697.92333333334,11685.9213333336
"9_0.9_0.6",9,0.9,0.6,0.0018,0.04478,1934.76833333334,8983.36749999993
"10_0.9_0.6",10,0.9,0.6,0.00221,0.04734,2299.71666666633,10113.4399999998
"5_0.5_0.7",5,0.5,0.7,0.00653,0.11131,60.4566666666651,267.12266666666
"6_0.5_0.7",6,0.5,0.7,0.01028,0.12625,39.8166666666366,167.198500000034
"7_0.5_0.7",7,0.5,0.7,0.01039,0.1409,32.3400000000111,140.181333333315
"8_0.5_0.7",8,0.5,0.7,0.01401,0.14818,26.2966666666616,113.816833333339
